County,State,Value,Category Range
Catron,NM,337.4,106.1 - 380.0 (648)
Renville,ND,337.5,106.1 - 380.0 (648)
Lake,IL,337.5,106.1 - 380.0 (648)
DuPage,IL,338.3,106.1 - 380.0 (648)
Story,IA,338.3,106.1 - 380.0 (648)
Fairfield,CT,338.5,106.1 - 380.0 (648)
Rappahannock,VA,338.8,106.1 - 380.0 (648)
Green,WI,338.9,106.1 - 380.0 (648)
Essex,MA,338.9,106.1 - 380.0 (648)
Meagher,MT,339.1,106.1 - 380.0 (648)
Carroll,NH,339.1,106.1 - 380.0 (648)
Dunn,ND,339.2,106.1 - 380.0 (648)
San Juan,UT,339.2,106.1 - 380.0 (648)
Thomas,NE,339.4,106.1 - 380.0 (648)
McHenry,ND,339.5,106.1 - 380.0 (648)
Clackamas,OR,339.7,106.1 - 380.0 (648)
Wake,NC,339.7,106.1 - 380.0 (648)
Fluvanna,VA,339.8,106.1 - 380.0 (648)
Benton,MN,340.3,106.1 - 380.0 (648)
Grafton,NH,340.5,106.1 - 380.0 (648)
Jones,SD,340.5,106.1 - 380.0 (648)
Brewster,TX,340.7,106.1 - 380.0 (648)
Yellow Medicine,MN,340.9,106.1 - 380.0 (648)
Nobles,MN,341,106.1 - 380.0 (648)
Barnes,ND,341,106.1 - 380.0 (648)
Washington,CO,341.5,106.1 - 380.0 (648)
Kit Carson,CO,341.6,106.1 - 380.0 (648)
James City,VA,341.9,106.1 - 380.0 (648)
Honolulu,HI,342,106.1 - 380.0 (648)
Morrison,MN,342.3,106.1 - 380.0 (648)
Tom Green,TX,342.3,106.1 - 380.0 (648)
McKinley,NM,342.4,106.1 - 380.0 (648)
Wood,WI,342.9,106.1 - 380.0 (648)
Colfax,NM,343,106.1 - 380.0 (648)
Patillas,PR,343.2,106.1 - 380.0 (648)
Norman,MN,343.3,106.1 - 380.0 (648)
Brown,MN,343.4,106.1 - 380.0 (648)
Bear Lake,ID,343.5,106.1 - 380.0 (648)
Mille Lacs,MN,343.7,106.1 - 380.0 (648)
Bergen,NJ,343.8,106.1 - 380.0 (648)
San Juan,NM,343.9,106.1 - 380.0 (648)
Albany,WY,343.9,106.1 - 380.0 (648)
Sarpy,NE,344,106.1 - 380.0 (648)
Douglas,NV,344.2,106.1 - 380.0 (648)
Somerset,NJ,344.2,106.1 - 380.0 (648)
Polk,OR,344.6,106.1 - 380.0 (648)
Lac qui Parle,MN,344.7,106.1 - 380.0 (648)
Arroyo,PR,344.7,106.1 - 380.0 (648)
Fredericksburg,VA,344.8,106.1 - 380.0 (648)
Lares,PR,344.9,106.1 - 380.0 (648)
Weld,CO,345.1,106.1 - 380.0 (648)
Greene,VA,345.3,106.1 - 380.0 (648)
Champaign,IL,345.7,106.1 - 380.0 (648)
Lincoln,MN,345.9,106.1 - 380.0 (648)
Murray,MN,346,106.1 - 380.0 (648)
Fauquier,VA,346,106.1 - 380.0 (648)
Hays,TX,346,106.1 - 380.0 (648)
Lane,OR,346.2,106.1 - 380.0 (648)
New York,NY,346.2,106.1 - 380.0 (648)
Anchorage,AK,346.2,106.1 - 380.0 (648)
Maricopa,AZ,346.3,106.1 - 380.0 (648)
Franklin,WA,346.3,106.1 - 380.0 (648)
Denton,TX,346.4,106.1 - 380.0 (648)
Aguadilla,PR,346.7,106.1 - 380.0 (648)
Teton,ID,346.7,106.1 - 380.0 (648)
Cuming,NE,346.7,106.1 - 380.0 (648)
Steele,ND,346.9,106.1 - 380.0 (648)
Wallace,KS,347,106.1 - 380.0 (648)
Island,WA,347,106.1 - 380.0 (648)
Billings,ND,347.1,106.1 - 380.0 (648)
Minidoka,ID,347.2,106.1 - 380.0 (648)
Blanco,TX,347.2,106.1 - 380.0 (648)
Stevens,KS,347.3,106.1 - 380.0 (648)
Indian River,FL,347.5,106.1 - 380.0 (648)
Snyder,PA,347.5,106.1 - 380.0 (648)
McLean,ND,347.6,106.1 - 380.0 (648)
El Dorado,CA,347.7,106.1 - 380.0 (648)
Blount,TN,347.8,106.1 - 380.0 (648)
Riley,KS,348.4,106.1 - 380.0 (648)
Maunabo,PR,348.5,106.1 - 380.0 (648)
Le Sueur,MN,348.7,106.1 - 380.0 (648)
Renville,MN,348.7,106.1 - 380.0 (648)
Douglas,MN,348.7,106.1 - 380.0 (648)
Kanabec,MN,348.8,106.1 - 380.0 (648)
Frederick,VA,348.9,106.1 - 380.0 (648)
Douglas,WA,349,106.1 - 380.0 (648)
Redwood,MN,349.3,106.1 - 380.0 (648)
Deschutes,OR,349.3,106.1 - 380.0 (648)
Durham,NC,349.8,106.1 - 380.0 (648)
Lawrence,SD,350.1,106.1 - 380.0 (648)
Sabana Grande,PR,350.2,106.1 - 380.0 (648)
Butte,ID,350.2,106.1 - 380.0 (648)
Lake,MN,350.3,106.1 - 380.0 (648)
Jayuya,PR,350.6,106.1 - 380.0 (648)
Spotsylvania,VA,351,106.1 - 380.0 (648)
Henderson,NC,351,106.1 - 380.0 (648)
Custer,ID,351.1,106.1 - 380.0 (648)
Ventura,CA,351.1,106.1 - 380.0 (648)
Todd,MN,351.2,106.1 - 380.0 (648)
Taylor,WI,351.5,106.1 - 380.0 (648)
Carbon,MT,351.8,106.1 - 380.0 (648)
Morris,NJ,352,106.1 - 380.0 (648)
Winchester,VA,352.2,106.1 - 380.0 (648)
Mecklenburg,NC,352.3,106.1 - 380.0 (648)
Swift,MN,352.5,106.1 - 380.0 (648)
Ottawa,MI,352.5,106.1 - 380.0 (648)
Louisa,VA,352.8,106.1 - 380.0 (648)
Mineral,CO,353,106.1 - 380.0 (648)
Newport,RI,353.1,106.1 - 380.0 (648)
Lincoln,NM,353.2,106.1 - 380.0 (648)
Gillespie,TX,353.4,106.1 - 380.0 (648)
Lincoln,LA,353.5,106.1 - 380.0 (648)
Hidalgo,TX,353.6,106.1 - 380.0 (648)
Williamson,TN,353.8,106.1 - 380.0 (648)
Orange,CA,353.8,106.1 - 380.0 (648)
Sheridan,ND,353.9,106.1 - 380.0 (648)
Delaware,OH,354.1,106.1 - 380.0 (648)
Westchester,NY,354.1,106.1 - 380.0 (648)
Adjuntas,PR,354.1,106.1 - 380.0 (648)
La Crosse,WI,354.2,106.1 - 380.0 (648)
Cheyenne,KS,354.2,106.1 - 380.0 (648)
Middlesex,CT,354.3,106.1 - 380.0 (648)
Pennington,MN,354.4,106.1 - 380.0 (648)
Rockingham,VA,354.4,106.1 - 380.0 (648)
Emmet,IA,354.6,106.1 - 380.0 (648)
Napa,CA,354.7,106.1 - 380.0 (648)
Jefferson,CO,354.7,106.1 - 380.0 (648)
Adams,ID,354.8,106.1 - 380.0 (648)
Traill,ND,354.8,106.1 - 380.0 (648)
Burleigh,ND,354.8,106.1 - 380.0 (648)
Schleicher,TX,355,106.1 - 380.0 (648)
Kane,IL,355.1,106.1 - 380.0 (648)
Pembina,ND,355.3,106.1 - 380.0 (648)
Teton,MT,355.3,106.1 - 380.0 (648)
Cottonwood,MN,355.4,106.1 - 380.0 (648)
Bucks,PA,355.7,106.1 - 380.0 (648)
Mason,TX,355.7,106.1 - 380.0 (648)
Sibley,MN,355.8,106.1 - 380.0 (648)
Lyon,IA,355.9,106.1 - 380.0 (648)
San Juan,CO,355.9,106.1 - 380.0 (648)
San Diego,CA,355.9,106.1 - 380.0 (648)
Ransom,ND,356,106.1 - 380.0 (648)
Jackson,OR,356.5,106.1 - 380.0 (648)
Rockingham,NH,356.6,106.1 - 380.0 (648)
Matanuska-Susitna,AK,356.7,106.1 - 380.0 (648)
Slope,ND,356.9,106.1 - 380.0 (648)
Pondera,MT,357.1,106.1 - 380.0 (648)
Snohomish,WA,357.1,106.1 - 380.0 (648)
Plymouth,IA,357.5,106.1 - 380.0 (648)
Cass,NE,357.6,106.1 - 380.0 (648)
St. Louis,MN,357.7,106.1 - 380.0 (648)
Bottineau,ND,357.7,106.1 - 380.0 (648)
Virginia Beach,VA,357.7,106.1 - 380.0 (648)
Houston,MN,357.9,106.1 - 380.0 (648)
Nantucket,MA,358.3,106.1 - 380.0 (648)
Dukes,MA,358.3,106.1 - 380.0 (648)
San Luis Obispo,CA,358.4,106.1 - 380.0 (648)
Tolland,CT,358.4,106.1 - 380.0 (648)
Clark,WA,358.4,106.1 - 380.0 (648)
Crook,WY,358.4,106.1 - 380.0 (648)
Lamoille,VT,358.5,106.1 - 380.0 (648)
Oconee,GA,358.5,106.1 - 380.0 (648)
Santa Cruz,AZ,358.8,106.1 - 380.0 (648)
Winona,MN,358.8,106.1 - 380.0 (648)
Marshall,MN,358.9,106.1 - 380.0 (648)
Hughes,SD,358.9,106.1 - 380.0 (648)
Logan,KS,359.1,106.1 - 380.0 (648)
Scott,IA,359.2,106.1 - 380.0 (648)
Oliver,ND,359.3,106.1 - 380.0 (648)
Sonoma,CA,359.4,106.1 - 380.0 (648)
Llano,TX,359.5,106.1 - 380.0 (648)
Iowa,WI,359.5,106.1 - 380.0 (648)
Yolo,CA,359.8,106.1 - 380.0 (648)
Lancaster,NE,359.8,106.1 - 380.0 (648)
Pinellas,FL,359.9,106.1 - 380.0 (648)
Fillmore,MN,360.3,106.1 - 380.0 (648)
Logan,CO,360.6,106.1 - 380.0 (648)
Yauco,PR,360.6,106.1 - 380.0 (648)
Rockland,NY,360.7,106.1 - 380.0 (648)
Alachua,FL,360.8,106.1 - 380.0 (648)
Franklin,ID,360.8,106.1 - 380.0 (648)
Hamilton,IA,360.9,106.1 - 380.0 (648)
Hillsborough,NH,360.9,106.1 - 380.0 (648)
Washington,RI,360.9,106.1 - 380.0 (648)
Beaverhead,MT,361,106.1 - 380.0 (648)
Kidder,ND,361.5,106.1 - 380.0 (648)
Leon,FL,361.5,106.1 - 380.0 (648)
Ponce,PR,361.6,106.1 - 380.0 (648)
Monroe,IN,361.8,106.1 - 380.0 (648)
Haskell,KS,361.8,106.1 - 380.0 (648)
Union,PA,361.9,106.1 - 380.0 (648)
Fayette,GA,362,106.1 - 380.0 (648)
Washington,WI,362.1,106.1 - 380.0 (648)
