County,State,Value,Category Range
Page,IA,412.2,380.1 - 429.0 (639)
Brown,WI,412.2,380.1 - 429.0 (639)
Bradford,FL,412.4,380.1 - 429.0 (639)
Richland,MT,412.5,380.1 - 429.0 (639)
Grant,SD,412.5,380.1 - 429.0 (639)
McCormick,SC,412.6,380.1 - 429.0 (639)
Hampshire,WV,412.6,380.1 - 429.0 (639)
Alamance,NC,412.6,380.1 - 429.0 (639)
Boone,IL,412.6,380.1 - 429.0 (639)
Westmoreland,VA,412.7,380.1 - 429.0 (639)
Grant,WI,412.8,380.1 - 429.0 (639)
Harrisonburg,VA,412.9,380.1 - 429.0 (639)
Caledonia,VT,412.9,380.1 - 429.0 (639)
Washington,KS,412.9,380.1 - 429.0 (639)
Boone,KY,412.9,380.1 - 429.0 (639)
Carteret,NC,413,380.1 - 429.0 (639)
Bowman,ND,413,380.1 - 429.0 (639)
Lancaster,VA,413,380.1 - 429.0 (639)
Sauk,WI,413.1,380.1 - 429.0 (639)
Adams,PA,413.2,380.1 - 429.0 (639)
Stafford,KS,413.2,380.1 - 429.0 (639)
Okaloosa,FL,413.3,380.1 - 429.0 (639)
Hitchcock,NE,413.3,380.1 - 429.0 (639)
Onondaga,NY,413.5,380.1 - 429.0 (639)
Roberts,SD,413.5,380.1 - 429.0 (639)
Door,WI,413.6,380.1 - 429.0 (639)
Bandera,TX,413.7,380.1 - 429.0 (639)
Aurora,SD,413.8,380.1 - 429.0 (639)
Prowers,CO,414,380.1 - 429.0 (639)
Franklin,IL,414.2,380.1 - 429.0 (639)
Big Horn,MT,414.2,380.1 - 429.0 (639)
Manassas,VA,414.2,380.1 - 429.0 (639)
Powell,MT,414.3,380.1 - 429.0 (639)
Russell,KS,414.4,380.1 - 429.0 (639)
Hyde,SD,414.4,380.1 - 429.0 (639)
Edwards,TX,414.4,380.1 - 429.0 (639)
Craig,VA,414.5,380.1 - 429.0 (639)
Louisa,IA,414.6,380.1 - 429.0 (639)
Utah,UT,414.8,380.1 - 429.0 (639)
Monroe,WV,414.9,380.1 - 429.0 (639)
Ogle,IL,415,380.1 - 429.0 (639)
Monroe,WI,415.1,380.1 - 429.0 (639)
Spencer,IN,415.3,380.1 - 429.0 (639)
Hardin,IA,415.5,380.1 - 429.0 (639)
Carroll,IA,415.6,380.1 - 429.0 (639)
Campbell,WY,415.6,380.1 - 429.0 (639)
Orleans,VT,415.7,380.1 - 429.0 (639)
Lampasas,TX,415.7,380.1 - 429.0 (639)
Kenai Peninsula,AK,415.8,380.1 - 429.0 (639)
New Hanover,NC,415.9,380.1 - 429.0 (639)
Johnson,TN,415.9,380.1 - 429.0 (639)
Benton,AR,416.1,380.1 - 429.0 (639)
Mendocino,CA,416.1,380.1 - 429.0 (639)
Fulton,GA,416.1,380.1 - 429.0 (639)
Albany,NY,416.3,380.1 - 429.0 (639)
Bennington,VT,416.3,380.1 - 429.0 (639)
Sanpete,UT,416.5,380.1 - 429.0 (639)
Yankton,SD,416.5,380.1 - 429.0 (639)
Lyon,KS,416.6,380.1 - 429.0 (639)
Broward,FL,416.8,380.1 - 429.0 (639)
Gila,AZ,416.8,380.1 - 429.0 (639)
Walker,TX,416.8,380.1 - 429.0 (639)
Juab,UT,416.9,380.1 - 429.0 (639)
Rawlins,KS,416.9,380.1 - 429.0 (639)
Cortland,NY,416.9,380.1 - 429.0 (639)
Jackson,WI,417,380.1 - 429.0 (639)
Antelope,NE,417.2,380.1 - 429.0 (639)
Franklin,IA,417.3,380.1 - 429.0 (639)
Harford,MD,417.4,380.1 - 429.0 (639)
Harding,SD,417.5,380.1 - 429.0 (639)
Queen Anne's,MD,417.6,380.1 - 429.0 (639)
Hanover,VA,417.7,380.1 - 429.0 (639)
Montour,PA,418.3,380.1 - 429.0 (639)
Kent,MD,418.3,380.1 - 429.0 (639)
Bonneville,ID,418.3,380.1 - 429.0 (639)
Harrison,IA,418.5,380.1 - 429.0 (639)
Gem,ID,418.6,380.1 - 429.0 (639)
Oglethorpe,GA,418.6,380.1 - 429.0 (639)
Clinton,NY,418.7,380.1 - 429.0 (639)
Anne Arundel,MD,418.8,380.1 - 429.0 (639)
Cowlitz,WA,418.8,380.1 - 429.0 (639)
Price,WI,418.8,380.1 - 429.0 (639)
Antrim,MI,418.9,380.1 - 429.0 (639)
Cayuga,NY,418.9,380.1 - 429.0 (639)
Douglas,IL,419,380.1 - 429.0 (639)
Gooding,ID,419.1,380.1 - 429.0 (639)
Clay,NE,419.1,380.1 - 429.0 (639)
Fergus,MT,419.1,380.1 - 429.0 (639)
Richmond,VA,419.1,380.1 - 429.0 (639)
Northumberland,VA,419.1,380.1 - 429.0 (639)
Ketchikan Gateway,AK,419.2,380.1 - 429.0 (639)
Dawson,GA,419.3,380.1 - 429.0 (639)
Fayette,IA,419.3,380.1 - 429.0 (639)
Guthrie,IA,419.4,380.1 - 429.0 (639)
Johnson,IL,419.4,380.1 - 429.0 (639)
Klamath,OR,419.4,380.1 - 429.0 (639)
Powder River,MT,419.5,380.1 - 429.0 (639)
Wasco,OR,419.6,380.1 - 429.0 (639)
Pocahontas,WV,419.6,380.1 - 429.0 (639)
Sheboygan,WI,419.6,380.1 - 429.0 (639)
Guadalupe,TX,419.7,380.1 - 429.0 (639)
Garden,NE,419.7,380.1 - 429.0 (639)
Brevard,FL,419.8,380.1 - 429.0 (639)
Rusk,WI,419.8,380.1 - 429.0 (639)
Shawano,WI,420.1,380.1 - 429.0 (639)
Ellis,KS,420.1,380.1 - 429.0 (639)
Jefferson,KY,420.2,380.1 - 429.0 (639)
Quay,NM,420.2,380.1 - 429.0 (639)
Johnson,WY,420.2,380.1 - 429.0 (639)
Sherman,OR,420.5,380.1 - 429.0 (639)
Van Wert,OH,420.5,380.1 - 429.0 (639)
Essex,VA,420.6,380.1 - 429.0 (639)
Buckingham,VA,420.7,380.1 - 429.0 (639)
Greene,GA,420.7,380.1 - 429.0 (639)
Kossuth,IA,420.8,380.1 - 429.0 (639)
Alger,MI,420.8,380.1 - 429.0 (639)
Uinta,WY,420.8,380.1 - 429.0 (639)
Manitowoc,WI,421,380.1 - 429.0 (639)
Torrance,NM,421,380.1 - 429.0 (639)
Fayette,IL,421,380.1 - 429.0 (639)
Adams,IL,421.1,380.1 - 429.0 (639)
Oneida,WI,421.1,380.1 - 429.0 (639)
Charles City,VA,421.1,380.1 - 429.0 (639)
Mathews,VA,421.1,380.1 - 429.0 (639)
Uvalde,TX,421.2,380.1 - 429.0 (639)
Kinney,TX,421.3,380.1 - 429.0 (639)
Walworth,SD,421.3,380.1 - 429.0 (639)
Natrona,WY,421.3,380.1 - 429.0 (639)
Shawnee,KS,421.3,380.1 - 429.0 (639)
Lake,CO,421.4,380.1 - 429.0 (639)
Bayfield,WI,421.5,380.1 - 429.0 (639)
Hickman,TN,421.8,380.1 - 429.0 (639)
Hardin,KY,421.8,380.1 - 429.0 (639)
Medina,OH,421.9,380.1 - 429.0 (639)
Nodaway,MO,421.9,380.1 - 429.0 (639)
York,NE,422.2,380.1 - 429.0 (639)
Burlington,NJ,422.3,380.1 - 429.0 (639)
Brown,IL,422.4,380.1 - 429.0 (639)
Queens,NY,422.7,380.1 - 429.0 (639)
Androscoggin,ME,422.7,380.1 - 429.0 (639)
Orange,VT,422.7,380.1 - 429.0 (639)
Middlesex,VA,422.8,380.1 - 429.0 (639)
Harris,TX,423,380.1 - 429.0 (639)
Iredell,NC,423,380.1 - 429.0 (639)
Williams,ND,423.1,380.1 - 429.0 (639)
Edwards,KS,423.1,380.1 - 429.0 (639)
Concho,TX,423.1,380.1 - 429.0 (639)
McCook,SD,423.1,380.1 - 429.0 (639)
Scotts Bluff,NE,423.4,380.1 - 429.0 (639)
Thurston,NE,423.5,380.1 - 429.0 (639)
Lorain,OH,423.5,380.1 - 429.0 (639)
Coos,OR,423.5,380.1 - 429.0 (639)
Chesapeake,VA,423.5,380.1 - 429.0 (639)
Racine,WI,423.6,380.1 - 429.0 (639)
Bath,VA,423.6,380.1 - 429.0 (639)
Barry,MI,423.6,380.1 - 429.0 (639)
Craven,NC,423.7,380.1 - 429.0 (639)
Frederick,MD,423.8,380.1 - 429.0 (639)
Aroostook,ME,424.1,380.1 - 429.0 (639)
Victoria,TX,424.2,380.1 - 429.0 (639)
Tuolumne,CA,424.3,380.1 - 429.0 (639)
Plumas,CA,424.3,380.1 - 429.0 (639)
Muscatine,IA,424.4,380.1 - 429.0 (639)
Piute,UT,424.6,380.1 - 429.0 (639)
Sheridan,KS,424.7,380.1 - 429.0 (639)
Foster,ND,424.8,380.1 - 429.0 (639)
Wilkin,MN,424.9,380.1 - 429.0 (639)
Caribou,ID,425,380.1 - 429.0 (639)
Gasconade,MO,425.1,380.1 - 429.0 (639)
Dutchess,NY,425.1,380.1 - 429.0 (639)
Richardson,NE,425.1,380.1 - 429.0 (639)
Turner,SD,425.1,380.1 - 429.0 (639)
Essex,NJ,425.2,380.1 - 429.0 (639)
Cleveland,OK,425.2,380.1 - 429.0 (639)
Hancock,IA,425.2,380.1 - 429.0 (639)
Tipton,IN,425.3,380.1 - 429.0 (639)
Carroll,IN,425.3,380.1 - 429.0 (639)
Sheridan,NE,425.4,380.1 - 429.0 (639)
Bell,TX,425.4,380.1 - 429.0 (639)
Delta,MI,425.5,380.1 - 429.0 (639)
Bennett,SD,425.7,380.1 - 429.0 (639)
Marquette,WI,425.7,380.1 - 429.0 (639)
Fremont,WY,425.7,380.1 - 429.0 (639)
Warren,MO,425.9,380.1 - 429.0 (639)
Pottawattamie,IA,426.3,380.1 - 429.0 (639)
Riverside,CA,426.3,380.1 - 429.0 (639)
Clinton,MI,426.4,380.1 - 429.0 (639)
Amherst,VA,426.5,380.1 - 429.0 (639)
Muskegon,MI,426.6,380.1 - 429.0 (639)
Mahaska,IA,426.6,380.1 - 429.0 (639)
Nez Perce,ID,426.7,380.1 - 429.0 (639)
Hamilton,KS,426.7,380.1 - 429.0 (639)
Kent,MI,426.8,380.1 - 429.0 (639)
Clarke,IA,427,380.1 - 429.0 (639)
Hancock,OH,427.4,380.1 - 429.0 (639)
Adams,IN,427.5,380.1 - 429.0 (639)
Norton,KS,427.6,380.1 - 429.0 (639)
Garrard,KY,427.6,380.1 - 429.0 (639)
Deaf Smith,TX,427.7,380.1 - 429.0 (639)
Irion,TX,427.8,380.1 - 429.0 (639)
Yakima,WA,427.9,380.1 - 429.0 (639)
Jerome,ID,428,380.1 - 429.0 (639)
Broome,NY,428,380.1 - 429.0 (639)
Emmet,MI,428,380.1 - 429.0 (639)
Furnas,NE,428,380.1 - 429.0 (639)
Pittsylvania,VA,428.1,380.1 - 429.0 (639)
Hardy,WV,428.3,380.1 - 429.0 (639)
Otero,NM,428.5,380.1 - 429.0 (639)
Wilson,NC,428.5,380.1 - 429.0 (639)
Newaygo,MI,428.6,380.1 - 429.0 (639)
Santa Rosa,FL,428.6,380.1 - 429.0 (639)
Washington,PA,428.6,380.1 - 429.0 (639)
Charlevoix,MI,428.8,380.1 - 429.0 (639)
Cumberland,PA,428.9,380.1 - 429.0 (639)
Schuyler,NY,429,380.1 - 429.0 (639)
Pender,NC,429,380.1 - 429.0 (639)
Iron,UT,429,380.1 - 429.0 (639)
Carroll,VA,429.2,429.1 - 478.3 (643)
Box Butte,NE,429.2,429.1 - 478.3 (643)
Coffey,KS,429.3,429.1 - 478.3 (643)
Jackson,IL,429.3,429.1 - 478.3 (643)
Montgomery,NC,429.6,429.1 - 478.3 (643)
La Paz,AZ,429.7,429.1 - 478.3 (643)
Cerro Gordo,IA,429.8,429.1 - 478.3 (643)
Maverick,TX,429.8,429.1 - 478.3 (643)
Tarrant,TX,429.9,429.1 - 478.3 (643)
Lebanon,PA,429.9,429.1 - 478.3 (643)
Jefferson,OR,429.9,429.1 - 478.3 (643)
Carbon,WY,430.1,429.1 - 478.3 (643)
Yadkin,NC,430.3,429.1 - 478.3 (643)
Paulding,GA,430.3,429.1 - 478.3 (643)
Warren,NJ,430.4,429.1 - 478.3 (643)
Holt,MO,430.4,429.1 - 478.3 (643)
Scurry,TX,430.4,429.1 - 478.3 (643)
Huntingdon,PA,430.5,429.1 - 478.3 (643)
Divide,ND,430.5,429.1 - 478.3 (643)
Nelson,ND,430.6,429.1 - 478.3 (643)
Cheboygan,MI,430.6,429.1 - 478.3 (643)
Callaway,MO,430.7,429.1 - 478.3 (643)
Pawnee,KS,430.7,429.1 - 478.3 (643)
Montgomery,TX,430.7,429.1 - 478.3 (643)
Rush,KS,430.8,429.1 - 478.3 (643)
Vanderburgh,IN,430.8,429.1 - 478.3 (643)
Harris,GA,430.9,429.1 - 478.3 (643)
Sacramento,CA,430.9,429.1 - 478.3 (643)
Gates,NC,431,429.1 - 478.3 (643)
Graham,NC,431.1,429.1 - 478.3 (643)
Red Willow,NE,431.2,429.1 - 478.3 (643)
Ralls,MO,431.2,429.1 - 478.3 (643)
Fillmore,NE,431.6,429.1 - 478.3 (643)
Eaton,MI,431.6,429.1 - 478.3 (643)
Mahnomen,MN,431.8,429.1 - 478.3 (643)
Avery,NC,431.8,429.1 - 478.3 (643)
Nassau,FL,431.8,429.1 - 478.3 (643)
Marshall,IA,431.8,429.1 - 478.3 (643)
Aiken,SC,431.8,429.1 - 478.3 (643)
Glynn,GA,431.9,429.1 - 478.3 (643)
Ford,KS,432.1,429.1 - 478.3 (643)
Pike,IL,432.1,429.1 - 478.3 (643)
Tioga,NY,432.1,429.1 - 478.3 (643)
Kennebec,ME,432.3,429.1 - 478.3 (643)
Adair,IA,432.3,429.1 - 478.3 (643)
Nueces,TX,432.3,429.1 - 478.3 (643)
Nelson,KY,432.6,429.1 - 478.3 (643)
Culberson,TX,432.7,429.1 - 478.3 (643)
Douglas,SD,432.8,429.1 - 478.3 (643)
Sierra,CA,433,429.1 - 478.3 (643)
Jefferson,NE,433.1,429.1 - 478.3 (643)
Calvert,MD,433.3,429.1 - 478.3 (643)
Erie,OH,433.3,429.1 - 478.3 (643)
Fairfield,OH,433.4,429.1 - 478.3 (643)
Barrow,GA,433.4,429.1 - 478.3 (643)
Grant,NE,433.5,429.1 - 478.3 (643)
Midland,TX,433.5,429.1 - 478.3 (643)
Grays Harbor,WA,433.5,429.1 - 478.3 (643)
Menard,TX,433.7,429.1 - 478.3 (643)
Sanborn,SD,433.9,429.1 - 478.3 (643)
Cameron,PA,434,429.1 - 478.3 (643)
Calaveras,CA,434,429.1 - 478.3 (643)
Sitka,AK,434.1,429.1 - 478.3 (643)
Suffolk,NY,434.2,429.1 - 478.3 (643)
Mackinac,MI,434.2,429.1 - 478.3 (643)
Lycoming,PA,434.2,429.1 - 478.3 (643)
Coke,TX,434.3,429.1 - 478.3 (643)
York,SC,434.4,429.1 - 478.3 (643)
Defiance,OH,434.4,429.1 - 478.3 (643)
Osceola,FL,434.4,429.1 - 478.3 (643)
Jones,GA,434.4,429.1 - 478.3 (643)
Decatur,KS,434.4,429.1 - 478.3 (643)
Paulding,OH,434.5,429.1 - 478.3 (643)
Nassau,NY,434.6,429.1 - 478.3 (643)
Ohio,IN,434.6,429.1 - 478.3 (643)
Charlottesville,VA,434.7,429.1 - 478.3 (643)
Wahkiakum,WA,434.7,429.1 - 478.3 (643)
Marquette,MI,434.8,429.1 - 478.3 (643)
Canyon,ID,434.9,429.1 - 478.3 (643)
Hendry,FL,435,429.1 - 478.3 (643)
Kiowa,KS,435,429.1 - 478.3 (643)
Oswego,NY,435,429.1 - 478.3 (643)
Parker,TX,435,429.1 - 478.3 (643)
St. Louis,MO,435.1,429.1 - 478.3 (643)
Lafourche,LA,435.2,429.1 - 478.3 (643)
Butler,OH,435.2,429.1 - 478.3 (643)
Will,IL,435.2,429.1 - 478.3 (643)
Botetourt,VA,435.2,429.1 - 478.3 (643)
Kosciusko,IN,435.3,429.1 - 478.3 (643)
Curry,OR,435.5,429.1 - 478.3 (643)
Harrison,IN,435.6,429.1 - 478.3 (643)
Luce,MI,435.7,429.1 - 478.3 (643)
Whitley,IN,435.9,429.1 - 478.3 (643)
West Feliciana,LA,436.3,429.1 - 478.3 (643)
Sawyer,WI,436.3,429.1 - 478.3 (643)
Iron,WI,436.5,429.1 - 478.3 (643)
Socorro,NM,436.5,429.1 - 478.3 (643)
Coos,NH,436.6,429.1 - 478.3 (643)
Walsh,ND,436.6,429.1 - 478.3 (643)
Chase,KS,436.7,429.1 - 478.3 (643)
Potter,PA,436.7,429.1 - 478.3 (643)
Hood,TX,436.8,429.1 - 478.3 (643)
Piscataquis,ME,436.8,429.1 - 478.3 (643)
Linn,OR,436.9,429.1 - 478.3 (643)
Orange,NY,437,429.1 - 478.3 (643)
Allegany,NY,437.1,429.1 - 478.3 (643)
Stark,OH,437.1,429.1 - 478.3 (643)
Ringgold,IA,437.1,429.1 - 478.3 (643)
Effingham,IL,437.1,429.1 - 478.3 (643)
Logan,IL,437.2,429.1 - 478.3 (643)
Big Horn,WY,437.2,429.1 - 478.3 (643)
Nelson,VA,437.3,429.1 - 478.3 (643)
Marshall,IN,437.3,429.1 - 478.3 (643)
Allen,IN,437.4,429.1 - 478.3 (643)
Crockett,TX,437.4,429.1 - 478.3 (643)
Union,IL,437.6,429.1 - 478.3 (643)
Henry,KY,437.6,429.1 - 478.3 (643)
Morrill,NE,437.6,429.1 - 478.3 (643)
Surry,NC,437.7,429.1 - 478.3 (643)
Sedgwick,KS,437.7,429.1 - 478.3 (643)
Trego,KS,437.7,429.1 - 478.3 (643)
Jackson,IN,437.7,429.1 - 478.3 (643)
Anderson,SC,437.9,429.1 - 478.3 (643)
Bailey,TX,438.1,429.1 - 478.3 (643)
Sumner,KS,438.1,429.1 - 478.3 (643)
Ulster,NY,438.1,429.1 - 478.3 (643)
Wayne,OH,438.2,429.1 - 478.3 (643)
Adams,NE,438.2,429.1 - 478.3 (643)
Keokuk,IA,438.2,429.1 - 478.3 (643)
Polk,FL,438.2,429.1 - 478.3 (643)
Goliad,TX,438.2,429.1 - 478.3 (643)
Hocking,OH,438.4,429.1 - 478.3 (643)
Ashland,WI,438.5,429.1 - 478.3 (643)
Perry,IL,438.7,429.1 - 478.3 (643)
Jefferson,KS,438.7,429.1 - 478.3 (643)
DeKalb,IN,438.8,429.1 - 478.3 (643)
Catawba,NC,438.9,429.1 - 478.3 (643)
Gonzales,TX,438.9,429.1 - 478.3 (643)
Edgefield,SC,439,429.1 - 478.3 (643)
Presque Isle,MI,439,429.1 - 478.3 (643)
Clay,FL,439.2,429.1 - 478.3 (643)
Whitfield,GA,439.2,429.1 - 478.3 (643)
Campbell,KY,439.4,429.1 - 478.3 (643)
Shelby,KY,439.4,429.1 - 478.3 (643)
Weber,UT,439.4,429.1 - 478.3 (643)
Vilas,WI,439.4,429.1 - 478.3 (643)
Clermont,OH,439.5,429.1 - 478.3 (643)
Walton,FL,439.6,429.1 - 478.3 (643)
Baker,FL,439.7,429.1 - 478.3 (643)
Sheridan,WY,439.7,429.1 - 478.3 (643)
Kent,TX,439.7,429.1 - 478.3 (643)
Monona,IA,439.8,429.1 - 478.3 (643)
Harlan,NE,439.8,429.1 - 478.3 (643)
Lafayette,FL,440,429.1 - 478.3 (643)
Storey,NV,440.1,429.1 - 478.3 (643)
Noble,IN,440.2,429.1 - 478.3 (643)
Morris,KS,440.3,429.1 - 478.3 (643)
Dickinson,KS,440.3,429.1 - 478.3 (643)
Waller,TX,440.3,429.1 - 478.3 (643)
Susquehanna,PA,440.9,429.1 - 478.3 (643)
Charles Mix,SD,440.9,429.1 - 478.3 (643)
Prince George's,MD,440.9,429.1 - 478.3 (643)
Boyle,KY,441,429.1 - 478.3 (643)
Lumpkin,GA,441,429.1 - 478.3 (643)
Barton,KS,441.1,429.1 - 478.3 (643)
Greenwood,SC,441.1,429.1 - 478.3 (643)
Wilson,TX,441.2,429.1 - 478.3 (643)
Cass,IN,441.2,429.1 - 478.3 (643)
Oconee,SC,441.4,429.1 - 478.3 (643)
Newport News,VA,441.6,429.1 - 478.3 (643)
LaSalle,LA,441.6,429.1 - 478.3 (643)
Delaware,PA,441.6,429.1 - 478.3 (643)
Elk,PA,441.6,429.1 - 478.3 (643)
Madera,CA,441.8,429.1 - 478.3 (643)
Rooks,KS,441.9,429.1 - 478.3 (643)
Buena Vista,VA,442,429.1 - 478.3 (643)
Dinwiddie,VA,442,429.1 - 478.3 (643)
Lee,NC,442.1,429.1 - 478.3 (643)
Williams,OH,442.2,429.1 - 478.3 (643)
Greene,NY,442.3,429.1 - 478.3 (643)
Jersey,IL,442.3,429.1 - 478.3 (643)
Galveston,TX,442.3,429.1 - 478.3 (643)
Franklin,NC,442.4,429.1 - 478.3 (643)
Henderson,IL,442.5,429.1 - 478.3 (643)
Baltimore,MD,442.6,429.1 - 478.3 (643)
Sumner,TN,442.7,429.1 - 478.3 (643)
Bastrop,TX,442.9,429.1 - 478.3 (643)
Posey,IN,442.9,429.1 - 478.3 (643)
Rice,KS,442.9,429.1 - 478.3 (643)
Franklin,ME,443,429.1 - 478.3 (643)
Chouteau,MT,443,429.1 - 478.3 (643)
Butler,KS,443.1,429.1 - 478.3 (643)
Greenwood,KS,443.1,429.1 - 478.3 (643)
Lavaca,TX,443.1,429.1 - 478.3 (643)
Wells,IN,443.2,429.1 - 478.3 (643)
De Witt,IL,443.2,429.1 - 478.3 (643)
Mitchell,NC,443.2,429.1 - 478.3 (643)
Sussex,DE,443.3,429.1 - 478.3 (643)
Westmoreland,PA,443.4,429.1 - 478.3 (643)
Steuben,IN,443.5,429.1 - 478.3 (643)
Washington,VA,443.6,429.1 - 478.3 (643)
Pamlico,NC,443.7,429.1 - 478.3 (643)
Wright,IA,443.9,429.1 - 478.3 (643)
Benewah,ID,444,429.1 - 478.3 (643)
Bradford,PA,444.1,429.1 - 478.3 (643)
Bexar,TX,444.1,429.1 - 478.3 (643)
Wilson,TN,444.1,429.1 - 478.3 (643)
Knox,TN,444.1,429.1 - 478.3 (643)
Washington,OH,444.2,429.1 - 478.3 (643)
Gentry,MO,444.5,429.1 - 478.3 (643)
Jefferson,LA,444.6,429.1 - 478.3 (643)
Lander,NV,444.8,429.1 - 478.3 (643)
Clinton,PA,444.9,429.1 - 478.3 (643)
Clearwater,MN,444.9,429.1 - 478.3 (643)
Charles,MD,445.1,429.1 - 478.3 (643)
Cook,IL,445.1,429.1 - 478.3 (643)
Indiana,PA,445.1,429.1 - 478.3 (643)
Sangamon,IL,445.2,429.1 - 478.3 (643)
Franklin,IN,445.2,429.1 - 478.3 (643)
Daviess,KY,445.2,429.1 - 478.3 (643)
Kenton,KY,445.2,429.1 - 478.3 (643)
Cole,MO,445.2,429.1 - 478.3 (643)
Hockley,TX,445.3,429.1 - 478.3 (643)
Menominee,WI,445.3,429.1 - 478.3 (643)
Kent,DE,445.5,429.1 - 478.3 (643)
Mason,IL,445.7,429.1 - 478.3 (643)
Payette,ID,445.9,429.1 - 478.3 (643)
Washington,KY,445.9,429.1 - 478.3 (643)
Schoharie,NY,445.9,429.1 - 478.3 (643)
Jackson,KS,446,429.1 - 478.3 (643)
Spencer,KY,446.1,429.1 - 478.3 (643)
Pitt,NC,446.1,429.1 - 478.3 (643)
Union,OH,446.2,429.1 - 478.3 (643)
Deer Lodge,MT,446.2,429.1 - 478.3 (643)
Mariposa,CA,446.2,429.1 - 478.3 (643)
Osage,MO,446.4,429.1 - 478.3 (643)
Butte,CA,446.5,429.1 - 478.3 (643)
Chowan,NC,446.6,429.1 - 478.3 (643)
Currituck,NC,446.8,429.1 - 478.3 (643)
Hoke,NC,446.8,429.1 - 478.3 (643)
Saginaw,MI,446.8,429.1 - 478.3 (643)
Woodford,KY,446.9,429.1 - 478.3 (643)
Jefferson,IA,446.9,429.1 - 478.3 (643)
Pierce,ND,447.1,429.1 - 478.3 (643)
Whiteside,IL,447.2,429.1 - 478.3 (643)
Pratt,KS,447.3,429.1 - 478.3 (643)
Fannin,GA,447.4,429.1 - 478.3 (643)
Dearborn,IN,447.6,429.1 - 478.3 (643)
Tioga,PA,447.7,429.1 - 478.3 (643)
Box Elder,UT,448,429.1 - 478.3 (643)
Dorchester,SC,448.1,429.1 - 478.3 (643)
Emmons,ND,448.1,429.1 - 478.3 (643)
Sullivan,NY,448.2,429.1 - 478.3 (643)
Otsego,NY,448.2,429.1 - 478.3 (643)
Calhoun,IA,448.2,429.1 - 478.3 (643)
Fremont,ID,448.3,429.1 - 478.3 (643)
Mason,MI,448.3,429.1 - 478.3 (643)
Jefferson,WV,448.3,429.1 - 478.3 (643)
Graham,KS,448.5,429.1 - 478.3 (643)
Menominee,MI,448.6,429.1 - 478.3 (643)
Butler,PA,448.6,429.1 - 478.3 (643)
Erie,PA,448.7,429.1 - 478.3 (643)
Andrew,MO,448.7,429.1 - 478.3 (643)
Floyd,IA,448.7,429.1 - 478.3 (643)
Oconto,WI,448.8,429.1 - 478.3 (643)
Somervell,TX,448.8,429.1 - 478.3 (643)
Lewis,WA,448.9,429.1 - 478.3 (643)
Runnels,TX,449,429.1 - 478.3 (643)
Winnebago,IL,449,429.1 - 478.3 (643)
Otsego,MI,449,429.1 - 478.3 (643)
Onslow,NC,449,429.1 - 478.3 (643)
Loup,NE,449.1,429.1 - 478.3 (643)
Kings,NY,449.2,429.1 - 478.3 (643)
Inyo,CA,449.2,429.1 - 478.3 (643)
Gloucester,NJ,449.5,429.1 - 478.3 (643)
Franklin,KY,449.6,429.1 - 478.3 (643)
Jefferson,IL,449.7,429.1 - 478.3 (643)
Madison,KY,449.8,429.1 - 478.3 (643)
Phillips,KS,450.4,429.1 - 478.3 (643)
Franklin,NE,450.4,429.1 - 478.3 (643)
Lipscomb,TX,450.6,429.1 - 478.3 (643)
Nuckolls,NE,450.7,429.1 - 478.3 (643)
Republic,KS,450.8,429.1 - 478.3 (643)
Macon,IL,450.9,429.1 - 478.3 (643)
Calhoun,SC,450.9,429.1 - 478.3 (643)
Leon,TX,451,429.1 - 478.3 (643)
Saline,AR,451,429.1 - 478.3 (643)
Mercer,KY,451.1,429.1 - 478.3 (643)
Lake,OH,451.1,429.1 - 478.3 (643)
Oakland,MI,451.2,429.1 - 478.3 (643)
Columbia,NY,451.3,429.1 - 478.3 (643)
Banks,GA,451.3,429.1 - 478.3 (643)
Chippewa,MI,451.4,429.1 - 478.3 (643)
Tehama,CA,451.5,429.1 - 478.3 (643)
Delaware,NY,451.6,429.1 - 478.3 (643)
Armstrong,PA,451.7,429.1 - 478.3 (643)
Union,IN,451.7,429.1 - 478.3 (643)
Dallas,TX,451.7,429.1 - 478.3 (643)
Austin,TX,451.8,429.1 - 478.3 (643)
McKenzie,ND,451.8,429.1 - 478.3 (643)
Crawford,MI,452,429.1 - 478.3 (643)
Juneau,WI,452.1,429.1 - 478.3 (643)
Richland,SC,452.2,429.1 - 478.3 (643)
Licking,OH,452.3,429.1 - 478.3 (643)
Jewell,KS,452.3,429.1 - 478.3 (643)
Henry,GA,452.4,429.1 - 478.3 (643)
Camden,NJ,452.6,429.1 - 478.3 (643)
Glasscock,TX,452.6,429.1 - 478.3 (643)
Upton,TX,452.6,429.1 - 478.3 (643)
Christian,IL,452.7,429.1 - 478.3 (643)
Rankin,MS,452.8,429.1 - 478.3 (643)
DeKalb,MO,452.9,429.1 - 478.3 (643)
Elkhart,IN,452.9,429.1 - 478.3 (643)
Abbeville,SC,453,429.1 - 478.3 (643)
Forest,WI,453,429.1 - 478.3 (643)
Glenn,CA,453.1,429.1 - 478.3 (643)
Marion,KY,453.2,429.1 - 478.3 (643)
Ingham,MI,453.2,429.1 - 478.3 (643)
Greenbrier,WV,453.2,429.1 - 478.3 (643)
Parmer,TX,453.2,429.1 - 478.3 (643)
Franklin,NY,453.3,429.1 - 478.3 (643)
Malheur,OR,453.3,429.1 - 478.3 (643)
